"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/21 12:35:52 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica","1 a 5 livros","Livro físico","Em casa;Transporte público","Falta de tempo. Falta de uma rotina organizada que reserve um horário para a leitura.","Entrar em contato com outras visões de mundo e novas ideias.","Em casa",""
"2024/02/21 2:20:01 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História;Mangás ou Histórias em Quadrinhos","Mais de 20 livros","Livro físico","Em casa","Atualmente, o cansaço pós expediente","Melhorou demais a minha comunicação como um todo","Na escola",""
"2024/02/21 2:22:14 PM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book","Em casa","Tempo para fazer uma pausa no dia e ler uma quantidade razoável ","Amplia o conhecimento e a visão de mundo, além de ser terapêutico ","Em casa","Tornar os ambientes de biblotecas multi atrativos, com cafés, espaços de interação e outras áreas"
"2024/02/21 2:55:50 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book","Em casa","Tempo","Ela pode melhorar o vocabulário e trazer mais conhecimentos","Em casa",""
"2024/02/21 5:03:21 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa","Tempo","Conhecimento","Na escola","Acredito que atualmente as bibliotecas precisem oferecer algum tipo de incentivo para que as pessoas escolham ler seus livros nelas."
"2024/02/21 7:17:14 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia;Suspense;Ficção científica;Biografia;História","Mais de 20 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","Tempo","Na interpretação em geral","Em uma biblioteca pública","Buscar assuntos que mais te despertam interesse "
"2024/02/22 8:30:34 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Suspense;Ficção científica","1 a 5 livros","Livro físico","Em casa","Concentração","Aumento de vocabulário e interpretação de texto","Em casa","Estar atento às novas tendências literárias e incluir lançamentos recentes em seu acervo."
"2024/02/22 4:01:02 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Transporte público","Tamanho, peso, falta de hábito etc","Ela ajuda a ter mais conhecimento","Na escola",""
"2024/02/22 4:01:17 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Mangás ou Histórias em Quadrinhos;Autodesenvolvimento","1 a 5 livros","Livro físico","Em casa","Distração","Conhecimento e disciplina ","Na internet","Tentar entrar no livro e consumir conteúdos relacionados além do livro, tal como musica, livros e afins"
"2024/02/23 8:20:19 AM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Autoajuda;Mangás ou Histórias em Quadrinhos;Auto desenvolvimento ","1 a 5 livros","Livro físico;E-Book","Em casa","Não tenho um obstáculo, mas não tenho costume da leitura.","Conhecimento além de desenvolver a escrita e dicção.","Em casa","Desenvolver uma cultura "
